"INCIDENT_KEY","PERP_ID","PERP_AGE_GROUP","PERP_SEX","PERP_RACE"
"288208647","288208647-1","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"73517103","73517103-18843","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"193462348","193462348-1","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"186606271","186606271-1","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"168757750","168757750-26618","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"81042175","81042175-20813","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"71701593","71701593-18415","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"59801053","59801053-16524","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"220553700","220553700-1","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"220063007","220063007-1","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"214102398","214102398-3","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"214102398","214102398-2","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"142858797","142858797-25008","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"94549159","94549159-23346","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"84817119","84817119-21600","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"76723982","76723982-19623","<18","MALE","ASIAN / PACIFIC ISLANDER"
"76723982","76723982-19622","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"231008085","231008085-1","45-64","MALE","ASIAN / PACIFIC ISLANDER"
"190144578","190144578-2","45-64","MALE","ASIAN / PACIFIC ISLANDER"
"164781178","164781178-26320","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"136393517","136393517-23534","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"219751446","219751446-1","45-64","MALE","ASIAN / PACIFIC ISLANDER"
"139767955","139767955-25336","45-64","MALE","ASIAN / PACIFIC ISLANDER"
"83215413","83215413-21584","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"77758043","77758043-19893","<18","MALE","ASIAN / PACIFIC ISLANDER"
"77758043","77758043-19892","<18","MALE","ASIAN / PACIFIC ISLANDER"
"76598990","76598990-19587","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"74788924","74788924-19300","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"234930233","234930233-1","25-44","FEMALE","ASIAN / PACIFIC ISLANDER"
"234433694","234433694-1","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"225168411","225168411-1","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"144825551","144825551-24711","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"95338625","95338625-23462","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"223201958","223201958-3","25-44","FEMALE","ASIAN / PACIFIC ISLANDER"
"141239717","141239717-24924","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"80558961","80558961-21497","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"229188687","229188687-2","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"171826202","171826202-26829","<18","MALE","ASIAN / PACIFIC ISLANDER"
"87670469","87670469-22217","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"79853876","79853876-20443","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"55299658","55299658-16222","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"55299658","55299658-16083","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"54120281","54120281-15825","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"34129868","34129868-13218","UNKNOWN","MALE","ASIAN / PACIFIC ISLANDER"
"227497353","227497353-1","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"221346750","221346750-1","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"208309290","208309290-1","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"199134402","199134402-1","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"148363829","148363829-25126","45-64","MALE","ASIAN / PACIFIC ISLANDER"
"140452154","140452154-24496","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"139409357","139409357-24193","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"94146873","94146873-23241","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"94046068","94046068-23413","18-24","FEMALE","ASIAN / PACIFIC ISLANDER"
"73478864","73478864-18836","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"73017572","73017572-18709","UNKNOWN","MALE","ASIAN / PACIFIC ISLANDER"
"69420482","69420482-18034","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"50070601","50070601-15276","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"24248675","24248675-11041","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"10953939","10953939-9645","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"10333328","10333328-9692","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"10333328","10333328-9691","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"10333328","10333328-9355","<18","MALE","ASIAN / PACIFIC ISLANDER"
"10333328","10333328-9293","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"26087355","26087355-11975","UNKNOWN","MALE","ASIAN / PACIFIC ISLANDER"
"37231974","37231974-13836","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"25283460","25283460-11486","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"45374523","45374523-14326","UNKNOWN","MALE","ASIAN / PACIFIC ISLANDER"
"45789784","45789784-14377","UNKNOWN","MALE","ASIAN / PACIFIC ISLANDER"
"10137411","10137411-9258","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"50433504","50433504-15269","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"35855621","35855621-13729","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"28206270","28206270-12191","18-24","MALE","ASIAN / PACIFIC ISLANDER"
"271171073","271171073-1","45-64","MALE","ASIAN / PACIFIC ISLANDER"
"243648758","243648758-1","25-44","MALE","ASIAN / PACIFIC ISLANDER"
"235765524","235765524-1","<18","MALE","ASIAN / PACIFIC ISLANDER"
