"INCIDENT_KEY","VICTIM_ID","VICTIM_AGE_GROUP","VICTIM_SEX","VICTIM_RACE","STAT_MURDER_FLG"
"299453927","299453927-1","25-44","MALE","BLACK","N"
"212336415","212336415-1","18-24","MALE","BLACK","N"
"280768895","280768895-1","25-44","MALE","BLACK","N"
"141824677","141824677-27687","25-44","MALE","BLACK HISPANIC","N"
"270079203","270079203-1","45-64","MALE","BLACK","Y"
"138882700","138882700-26963","25-44","MALE","BLACK","N"
"138882700","138882700-26964","45-64","MALE","BLACK","N"
"289881880","289881880-1","25-44","MALE","WHITE HISPANIC","N"
"305930898","305930898-1","25-44","MALE","BLACK","N"
"138899428","138899428-26973","18-24","MALE","BLACK","N"
"138899428","138899428-26974","18-24","MALE","BLACK","N"
"139621460","139621460-27183","25-44","MALE","BLACK","N"
"212640532","212640532-1","25-44","MALE","BLACK","N"
"9953248","9953248-8163","18-24","MALE","BLACK","N"
"10137418","10137418-8227","25-44","MALE","BLACK","N"
"10137428","10137428-8239","45-64","FEMALE","BLACK","N"
"10187494","10187494-8258","25-44","MALE","BLACK","N"
"10187496","10187496-8260","25-44","MALE","WHITE HISPANIC","N"
"10187501","10187501-8266","<18","FEMALE","BLACK","N"
"10187502","10187502-8267","18-24","MALE","BLACK","N"
"10187517","10187517-8285","18-24","MALE","BLACK","N"
"10240242","10240242-8294","18-24","MALE","WHITE HISPANIC","N"
"10333320","10333320-8333","18-24","MALE","BLACK","N"
"10411015","10411015-8378","25-44","MALE","BLACK","N"
"10411018","10411018-8381","18-24","MALE","WHITE HISPANIC","N"
"10660756","10660756-8494","25-44","MALE","BLACK","Y"
"10879209","10879209-8586","18-24","MALE","BLACK","N"
"10953928","10953928-8628","18-24","MALE","BLACK","N"
"10953928","10953928-8629","25-44","MALE","BLACK","N"
"10953944","10953944-8647","<18","MALE","BLACK","N"
"11118200","11118200-8696","25-44","MALE","BLACK","Y"
"11118203","11118203-8702","25-44","MALE","BLACK","N"
"11118222","11118222-8725","18-24","MALE","WHITE","Y"
"11118232","11118232-8736","25-44","MALE","BLACK","Y"
"11118232","11118232-8737","45-64","MALE","BLACK","N"
"11118248","11118248-8755","25-44","MALE","BLACK","N"
"11118839","11118839-8661","25-44","MALE","BLACK","N"
"11118851","11118851-8674","25-44","MALE","BLACK","N"
"12679343","12679343-8759","25-44","MALE","BLACK","N"
"12679344","12679344-8760","<18","MALE","BLACK","N"
"12679353","12679353-8770","18-24","MALE","BLACK","N"
"12679353","12679353-8771","18-24","MALE","BLACK","N"
"12679353","12679353-8772","18-24","MALE","BLACK","N"
"12835935","12835935-8781","25-44","MALE","BLACK","N"
"15400535","15400535-8813","18-24","MALE","BLACK","N"
"15400536","15400536-8814","18-24","MALE","WHITE HISPANIC","N"
"15400564","15400564-8850","25-44","MALE","WHITE HISPANIC","Y"
"16631426","16631426-8859","18-24","FEMALE","BLACK","N"
"16631450","16631450-8887","25-44","MALE","WHITE HISPANIC","N"
"16631457","16631457-8896","25-44","MALE","WHITE HISPANIC","N"
"16631470","16631470-8913","<18","MALE","BLACK","N"
"16631475","16631475-8924","25-44","MALE","BLACK","Y"
"16631479","16631479-8934","25-44","MALE","BLACK","N"
"16631479","16631479-8959","18-24","MALE","BLACK","N"
"16631482","16631482-8938","25-44","MALE","BLACK","N"
"16631493","16631493-8953","18-24","MALE","BLACK","Y"
"16692685","16692685-9011","25-44","MALE","BLACK","N"
"16814038","16814038-9085","18-24","MALE","BLACK","N"
"16814045","16814045-9093","18-24","MALE","BLACK","N"
"16895010","16895010-9105","18-24","MALE","BLACK HISPANIC","N"
"16895048","16895048-9154","25-44","MALE","WHITE","N"
"23354055","23354055-9166","18-24","MALE","BLACK","N"
"23354055","23354055-9167","18-24","MALE","BLACK","N"
"23354070","23354070-9187","18-24","MALE","BLACK","N"
"23354120","23354120-9261","18-24","MALE","WHITE HISPANIC","N"
"23354137","23354137-9280","25-44","MALE","WHITE HISPANIC","N"
"23354143","23354143-9287","18-24","MALE","BLACK","N"
"23354144","23354144-9288","18-24","MALE","BLACK","N"
"23444498","23444498-9386","18-24","MALE","BLACK","N"
"23471265","23471265-9399","18-24","MALE","BLACK","Y"
"23525523","23525523-9452","18-24","MALE","WHITE HISPANIC","Y"
"23525523","23525523-9453","18-24","FEMALE","WHITE HISPANIC","N"
"23525528","23525528-9461","25-44","MALE","BLACK","Y"
"23525528","23525528-9462","25-44","MALE","BLACK","N"
"23722471","23722471-9595","18-24","FEMALE","BLACK","N"
"23722471","23722471-9596","18-24","MALE","BLACK","N"
"23822591","23822591-9664","25-44","MALE","WHITE","N"
"23904201","23904201-9731","25-44","MALE","BLACK","Y"
"23904203","23904203-9732","18-24","MALE","BLACK","N"
"23904206","23904206-9734","25-44","MALE","WHITE HISPANIC","N"
"23945312","23945312-9764","25-44","MALE","BLACK","Y"
"23945312","23945312-9765","18-24","MALE","BLACK","Y"
"23945312","23945312-9766","25-44","MALE","BLACK","N"
"23999557","23999557-9802","18-24","MALE","BLACK","N"
"23999559","23999559-9806","25-44","MALE","WHITE HISPANIC","N"
"24050471","24050471-9827","18-24","MALE","WHITE HISPANIC","N"
